counterparty,time_years,path,exposure,hazard_rate,default_weight
Bank B,1.5,1422,2697899.485401147,0.03764451209665958,0.00899765944220099
Bank B,1.5,1423,182520.92505120308,0.02359566086236654,0.0057823552598815775
Bank B,1.5,1424,2910283.885257219,0.04203499023548235,0.009161327852912016
Bank B,1.5,1425,1179342.5508062071,0.026684511803541058,0.0058335924893748725
Bank B,1.5,1426,7381263.27113319,0.06165642561559345,0.01327626502450796
Bank B,1.5,1427,3462088.287126342,0.04455546795204835,0.010088791876942227
Bank B,1.5,1428,490773.75411724683,0.02910785209948084,0.006471846001209203
Bank B,1.5,1429,2731529.7305527613,0.033113050607484734,0.008610474866810436
Bank B,1.5,1430,756820.5590003912,0.011816111186022552,0.003926346594747887
Bank B,1.5,1431,1157959.3004288967,0.027696538314188588,0.007176528054961495
Bank B,1.5,1432,1063030.096182044,0.03483355393788207,0.008623211363055772
Bank B,1.5,1433,1040383.146443492,0.018975013912617085,0.0039906203206485635
Bank B,1.5,1434,3479615.2609543293,0.040962972045192086,0.009860987798426146
Bank B,1.5,1435,631330.9682362784,0.005726836900216789,0.003189101713737541
Bank B,1.5,1436,2060402.396023715,0.050116572886022635,0.010508696432958597
Bank B,1.5,1437,1546660.7681386066,0.029675375671095513,0.006857073686479143
Bank B,1.5,1438,1764166.9265179075,0.041696384595112844,0.010326309084200846
Bank B,1.5,1439,5185315.127158057,0.02020311715919961,0.005339191187278769
Bank B,1.5,1440,1478133.3121808616,0.046405098308170696,0.009427108810462048
Bank B,1.5,1441,308603.7607654197,0.020531408986248265,0.005091194039594349
Bank B,1.5,1442,931128.9563323027,0.015920000718046265,0.003168379235017116
Bank B,1.5,1443,2740441.2887765407,0.029561409766757793,0.006151979007911201
Bank B,1.5,1444,3613283.946945222,0.05016062427576162,0.010420638239213686
Bank B,1.5,1445,6370683.267187696,0.033963565082849215,0.008080801475258137
Bank B,1.5,1446,4760589.153153454,0.033365205358730665,0.009996658685017978
Bank B,1.5,1447,2143216.3836819446,0.01963374602124228,0.00581854898627121
Bank B,1.5,1448,1760136.067849115,0.03911934208462965,0.00897537939448867
Bank B,1.5,1449,2026789.5573260505,0.026722915838611278,0.007501755176217539
Bank B,1.5,1450,2885265.094708143,0.03620644176016451,0.008221972441389669
Bank B,1.5,1451,1697454.460386558,0.028119823029201328,0.005718167680961006
Bank B,1.5,1452,2403307.632607106,0.024124224575803817,0.006440673010118636
Bank B,1.5,1453,1031662.7968336726,0.02183633550666157,0.005117551316279556
Bank B,1.5,1454,0.0,0.010567902214311845,0.003603341504558766
Bank B,1.5,1455,1753882.3894151468,0.03455540449005496,0.007937652695625963
Bank B,1.5,1456,1974857.6118201069,0.020112302873086404,0.004788145629359697
Bank B,1.5,1457,1898059.160927332,0.01965496580808394,0.00513361000203727
Bank B,1.5,1458,656505.3237220184,0.043568031941165694,0.00975124088938173
Bank B,1.5,1459,1486181.9348130943,0.02646654140853805,0.005885479046632391
Bank B,1.5,1460,3478719.6492234985,0.036804734630955564,0.008017783813457968
Bank B,1.5,1461,1075347.328118568,0.02102893430902145,0.005204591880504261
Bank B,1.5,1462,904993.6488865132,0.024891675617430244,0.004819836561673618
Bank B,1.5,1463,2134260.6778593007,0.02661729617847413,0.00620741043545725
Bank B,1.5,1464,3359928.1600946523,0.03347595599256032,0.006422501303929629
Bank B,1.5,1465,6957360.266501071,0.046201662981662193,0.011473821276825724
Bank B,1.5,1466,58029.89205246145,0.03418312804997583,0.009218971251069075
Bank B,1.5,1467,3694097.918950306,0.03506202674498757,0.008328493680353044
Bank B,1.5,1468,2769657.354638249,0.017066812991392875,0.004301478013057025
Bank B,1.5,1469,1495755.3799561416,0.024285958330453758,0.00699601069208311
Bank B,1.5,1470,455696.7982242019,0.01840313501140546,0.004464129796101335
Bank B,1.5,1471,1711696.939293622,0.03279468485885996,0.008176917138295936
Bank B,1.5,1472,1333371.2995809964,0.017664458465324377,0.004363275231886066
Bank B,1.5,1473,3741648.2997630467,0.02309061815275252,0.008319480252577782
Bank B,1.5,1474,3293691.1446886724,0.032732690426213046,0.00853918667884035
Bank B,1.5,1475,946382.2516046928,0.03639404026572088,0.007554078446582069
Bank B,1.5,1476,2456030.5424221265,0.031656078461501355,0.00837237154668935
Bank B,1.5,1477,3443218.5492831315,0.024669958560719973,0.00866987219383697
Bank B,1.5,1478,731332.4234730571,0.023627062950615348,0.00628694246915118
Bank B,1.5,1479,370924.53044317785,0.025710398209202942,0.006026503499002134
Bank B,1.5,1480,3329979.6356587103,0.035893098712124885,0.01126574281029713
Bank B,1.5,1481,2066732.4549604198,0.025656466722569427,0.006073373687833894
Bank B,1.5,1482,1622672.235317788,0.01984771814834508,0.005453742722216326
Bank B,1.5,1483,1313193.9871155547,0.03585829479850533,0.007767322252597686
Bank B,1.5,1484,2470394.843782546,0.026831207606671372,0.007744115257045325
Bank B,1.5,1485,480960.4343586699,0.029362145773582538,0.006223516511877469
Bank B,1.5,1486,870735.4135118169,0.025183036825476873,0.0056557384365122365
Bank B,1.5,1487,773611.1235949987,0.024325027674235354,0.006821561912458418
Bank B,1.5,1488,2122915.857420565,0.03148450800074603,0.008077494576946398
Bank B,1.5,1489,0.0,0.017472029764956015,0.004353268647437014
Bank B,1.5,1490,2806344.168466096,0.05681594021630182,0.01171993166244123
Bank B,1.5,1491,3162006.9363696245,0.034316575326366144,0.009232368300073013
Bank B,1.5,1492,1778485.4839032595,0.027434285891327202,0.005665531415157354
Bank B,1.5,1493,2082931.1984081995,0.04361997493005626,0.01041410896996775
Bank B,1.5,1494,3014197.085683829,0.019535976315441232,0.005793708983995782
Bank B,1.5,1495,2119804.481181133,0.02379541036974777,0.005931711946915552
Bank B,1.5,1496,1096322.5432718794,0.022243762544488246,0.005233698281705834
Bank B,1.5,1497,1418440.900856908,0.031347806834327925,0.008533046991041293
Bank B,1.5,1498,255816.790113997,0.02594085814575822,0.005649468613825537
Bank B,1.5,1499,3398381.6016815193,0.0327960953743351,0.008983286478803088
Bank B,1.5,1500,727317.2738257636,0.012042492538406852,0.003441075273061478
Bank B,1.5,1501,1781509.1907526301,0.03357629534241819,0.008985340133336517
Bank B,1.5,1502,1133836.6028192474,0.025413086254042885,0.005526835425763155
Bank B,1.5,1503,757051.0313797771,0.02591031557859461,0.006898823136822885
Bank B,1.5,1504,2104701.557294489,0.030890610235378636,0.007544915770467786
Bank B,1.5,1505,25134.784844677906,0.019470030103093828,0.0041926966343462935
Bank B,1.5,1506,1784514.3256918928,0.03932380254653152,0.008343727253832256
Bank B,1.5,1507,1803064.8173700802,0.013424443542374986,0.0032608528006959903
Bank B,1.5,1508,1833601.2068911954,0.020044012263899333,0.005191691460178283
Bank B,1.5,1509,2939615.352669739,0.03093550063216911,0.007554154643091615
Bank B,1.5,1510,2342667.478859535,0.02790657077520298,0.006508655078909076
Bank B,1.5,1511,1483105.2568539507,0.027965296513370225,0.005279525137127039
Bank B,1.5,1512,4600128.138481284,0.039584464156754685,0.00881390132358928
Bank B,1.5,1513,1365859.3394140278,0.0316111492092033,0.006152883715100255
Bank B,1.5,1514,1068289.090002689,0.018490769843747888,0.005902662808178416
Bank B,1.5,1515,988949.8457517665,0.013423663427829012,0.0031419840146198474
Bank B,1.5,1516,3879831.667962102,0.029129193496953847,0.006264834806405051
Bank B,1.5,1517,764956.0449016937,0.011448290604493207,0.003104241230850846
Bank B,1.5,1518,970990.0586020272,0.02302205774630082,0.004794355440331355
Bank B,1.5,1519,1592122.8395469678,0.030397942851003952,0.007526325704718229
Bank B,1.5,1520,3338457.6074231626,0.029364929521927582,0.00752788535424731
Bank B,1.5,1521,675432.5796030978,0.026640517962930092,0.0060875730960071595
Bank B,1.5,1522,4327549.57835729,0.047963395237110865,0.010775432446898159
Bank B,1.5,1523,858751.5775917307,0.013481652869812868,0.003542853740150176
Bank B,1.5,1524,2139462.5571972267,0.047724874017984864,0.009827031539461739
Bank B,1.5,1525,3609157.2033973983,0.01776045065950347,0.005216906870840421
Bank B,1.5,1526,0.0,0.020165807484476363,0.004141621844431009
Bank B,1.5,1527,5704069.308697918,0.045640532824677706,0.010191103326709472
Bank B,1.5,1528,1411393.4348412433,0.011976918563162459,0.0031760850507978056
Bank B,1.5,1529,5167304.232182336,0.037091470056582906,0.0076792311524465084
Bank B,1.5,1530,992505.180790133,0.059417019544916246,0.014594064432203457
Bank B,1.5,1531,985211.8100978357,0.03532273230659574,0.008748863667856877
Bank B,1.5,1532,2714012.7358579077,0.022206510517479516,0.00637870974765764
Bank B,1.5,1533,4241999.616829213,0.020355684221157855,0.0043719384033591435
Bank B,1.5,1534,1964439.1717350653,0.021821724470972595,0.005316492683450136
Bank B,1.5,1535,2052612.937496419,0.030323858394116273,0.007192371019655419
Bank B,1.5,1536,1342522.9053311362,0.04063931083890439,0.009104165517712204
Bank B,1.5,1537,2801714.28605091,0.028792227746172683,0.006794918477031731
Bank B,1.5,1538,4692807.589795636,0.03458407450937382,0.00953879055033724
Bank B,1.5,1539,2564980.5148231164,0.015926624716402084,0.003654724590557268
Bank B,1.5,1540,3046418.9569593207,0.03205874778745314,0.00716078628118999
Bank B,1.5,1541,1419362.6095203962,0.026253751474657507,0.005018852199900281
Bank B,1.5,1542,761307.7881616666,0.016126913380503996,0.004437505112136697
Bank B,1.5,1543,2061923.846428189,0.024497234748294076,0.006385166807628351
Bank B,1.5,1544,1935706.2111875587,0.028503951773914297,0.008075682072501644
Bank B,1.5,1545,3939331.138250265,0.035211703551834624,0.0077485435107822465
