scenario,counterparty,netting_set,time_years,ee,pfe_95,default_weighted_ee,default_weighted_pfe_95,mean_hazard,mean_default_probability
moderate,Bank A,NS_BANK_A,4.0,74078.47477380438,447643.46708300203,73141.41615520792,444935.8791628718,0.017882867483581952,0.004167430981797305
moderate,Bank A,NS_BANK_A,4.25,61176.57560347217,362242.6371730863,61038.15170635252,359798.8222045018,0.017977780964408382,0.004164229861502476
moderate,Bank A,NS_BANK_A,4.5,47048.16220108965,265870.9220464076,46842.74208258546,264743.42094701,0.01802607989811149,0.004161926623703495
moderate,Bank A,NS_BANK_A,4.75,27237.416999277924,152971.11464102386,27354.55941543909,152969.92949354925,0.018017752727735068,0.004147467142903218
moderate,Bank A,NS_BANK_A,5.0,0.0,0.0,0.0,0.0,0.018012213161463887,0.004127024057881486
moderate,Bank B,NS_BANK_B,0.0,2429409.6390643553,2429409.6390643553,2429409.6390643553,2429409.6390643553,0.024999999999999998,0.0
moderate,Bank B,NS_BANK_B,0.25,2446197.908025996,4099184.729755195,2498935.303756299,4155389.9497845024,0.026001420500775203,0.006354594249990042
moderate,Bank B,NS_BANK_B,0.5,2446078.8372038957,4886540.230057014,2583445.3400009666,5032792.461000142,0.026859428804461776,0.006541562334065602
moderate,Bank B,NS_BANK_B,0.75,2568734.9632222215,5356984.357284154,2746497.8966703257,5615158.780827833,0.02758848216786358,0.006689801018086908
moderate,Bank B,NS_BANK_B,1.0,2427980.007026068,5306712.8491593115,2625003.679005464,5545591.705642724,0.02807735016735088,0.006789182193154271
moderate,Bank B,NS_BANK_B,1.25,2330822.207648764,5379940.770263657,2542721.273295453,5594647.504925687,0.02848271430168975,0.006846814033747027
moderate,Bank B,NS_BANK_B,1.5,2607127.730739273,5457882.113686276,2805143.276255247,5643550.46564203,0.02867300676230043,0.006867124419580026
moderate,Bank B,NS_BANK_B,1.75,2473421.9857779066,5591836.498347781,2687672.8574351273,5851115.036811458,0.02895858270495454,0.006872349796580799
moderate,Bank B,NS_BANK_B,2.0,2358953.080759417,5657456.490130378,2586089.2826487124,5928747.803955847,0.0292048653476956,0.006883212816051278
moderate,Bank B,NS_BANK_B,2.25,2212002.793539523,5646167.854090187,2443660.421630963,5936150.840002416,0.029380428823971915,0.006880532685380504
moderate,Bank B,NS_BANK_B,2.5,2095567.8789492662,5680617.083208686,2330256.3797240327,5985760.3750231955,0.02955416744226775,0.006869048272229496
moderate,Bank B,NS_BANK_B,2.75,2031179.8949253205,5882947.438050219,2273202.3979491536,6190225.889367657,0.02971395056919243,0.006855732361892928
moderate,Bank B,NS_BANK_B,3.0,537539.5275357421,1317804.565462289,566694.6929621671,1352838.9126775065,0.02975706564382898,0.006827572465191109
moderate,Bank B,NS_BANK_B,3.25,481587.1833073245,1209030.7353542193,506539.2243736072,1239027.2977497969,0.02981787094319984,0.0067877543898855084
moderate,Bank B,NS_BANK_B,3.5,421640.5210044276,1067134.8029816693,443198.3566754621,1088984.9443647596,0.029914892908753057,0.006754176809920084
moderate,Bank B,NS_BANK_B,3.75,357653.773058865,934083.6678012143,376708.1568162155,952863.3417096208,0.029951420891725263,0.006718726439971456
moderate,Bank B,NS_BANK_B,4.0,297390.02587653615,795041.1308912577,313586.49424041976,809918.7255997123,0.030019735356309103,0.006680341666279673
moderate,Bank B,NS_BANK_B,4.25,229891.25142684774,625089.922281582,242250.0467441997,637074.7810058101,0.029934783975798608,0.006628313872506736
moderate,Bank B,NS_BANK_B,4.5,158339.05147880942,435970.6087113839,166747.56703243026,446511.15176059643,0.029933113639020927,0.006569100166222341
moderate,Bank B,NS_BANK_B,4.75,81903.26493609822,231936.6745117516,86613.53942106741,240321.84868468615,0.029980426533294417,0.006524678783408354
moderate,Bank B,NS_BANK_B,5.0,0.0,0.0,0.0,0.0,0.029984127942244726,0.006481291050408535
moderate,Fund C,NS_FUND_C,0.0,0.0,0.0,0.0,0.0,0.02,0.0
moderate,Fund C,NS_FUND_C,0.25,92217.81900887525,464819.17058477004,95067.07607296611,473712.8344937759,0.020576786632490175,0.0050590702473163164
moderate,Fund C,NS_FUND_C,0.5,142412.90662158743,665526.9418206592,152673.6706411711,690989.0546169801,0.021074622479280915,0.005165125390447125
moderate,Fund C,NS_FUND_C,0.75,170800.84480274946,857980.094296205,190102.90934177334,913829.7257575964,0.021534527319119333,0.005254053914938668
moderate,Fund C,NS_FUND_C,1.0,198262.8492591065,1008498.8289968041,225233.40276562425,1106835.5350962298,0.02202516711485327,0.0053399773547989585
